"CT" "10" "20" "50" "100" "200" "500" "0" "AAL"
"51" "22051023002" 605.944874934852 2833.37018883228 4155.35448884964 27498.9957351685 69524.3979225159 57785.5954818726 1205.30834829807 782.608972130291
"52" "22051023003" 531.652946695685 2150.9349193573 2872.63141012192 19786.0905838013 52388.1534042358 39581.5575027466 901.528064131737 574.101977893695
"53" "22051023100" 343.411447204649 1608.84616661072 2334.45141839981 16933.1819038391 39542.7507858276 35671.2369689941 689.470450401306 458.304884088136
"54" "22051023200" 492.288486018777 2268.72637975216 2679.05781507492 23254.8575553894 56075.1368713379 42692.8570404053 968.314145326614 619.388688353434
"55" "22051023300" 271.913291141391 1136.83897554874 1316.25154745579 10764.1787548065 28540.3831634521 20380.6066932678 484.759699046612 304.060205604359
"56" "22051023400" 637.268778085709 2616.51085162163 3106.28851103783 29614.3246002197 68308.8253173828 46363.8856658936 1142.92213511467 747.606488007784
"57" "22051023500" 769.86598392576 3134.24077296257 3135.62378513813 32469.8456916809 75235.5742492676 45310.61693573 1292.02574002743 819.760821307682
"58" "22051023600" 846.721011519432 3896.56078922749 3697.12717854977 33368.5378646851 87849.9259338379 58406.6206054688 1574.74243021011 940.246669056774
"59" "22051023700" 265.418384194374 1217.32486748695 1146.00452876091 11991.5294723511 27856.1287841797 20191.6549682617 518.352453708649 309.8970135113
"60" "22051023800" 585.642449527979 2732.14100658894 2420.06731343269 26156.4784832001 53193.8289909363 41026.1768608093 1073.62424492836 642.816217649371
"61" "22051023901" 560.496233649552 2494.60808217525 2392.96292930841 25983.2668876648 44707.4369926453 46213.8079833984 942.247931718826 604.680949317582
"62" "22051023902" 634.463262557983 2572.21467256546 2541.99652719498 27037.8417816162 49461.5111083984 44684.5311279297 993.554705142975 637.246753498077
"63" "22051023903" 618.70796623826 2433.12790250778 2433.12790250778 24906.9670829773 50362.319519043 40713.5306625366 957.888986825943 610.77720049873
"64" "22051023904" 598.178730897605 3135.83281964064 2705.38860802352 25565.5196266174 39886.5180721283 41637.169593811 949.048074841499 608.238777097396
"65" "22051024001" 526.72164843604 2523.83592584729 2447.15266856551 25587.1956424713 42691.0160865784 51651.9463768005 966.32050216198 603.210482846152
"66" "22051024002" 904.719466120005 3992.46760699153 3889.24818772078 37677.2032690048 68891.0910549164 92217.4532833099 1561.55188483 956.571223349243
"67" "22051024100" 587.269186615944 2881.1863117218 3032.81412029266 31841.455657959 56626.664276123 62306.475769043 1169.80861186981 749.362752732873
"68" "22051024201" 535.512565210462 2899.69744360447 3894.19525945187 26193.9003372192 54601.8382835388 49364.4597206116 1004.56889092922 696.167912307694
"69" "22051024202" 1192.20703116804 9407.62643778324 12200.4531457424 102952.849727631 192777.261688232 213261.372032166 3767.64163219929 2513.26677396379
"70" "22051024300" 680.662032514811 3284.53040552139 4717.48955535889 35524.3666915894 73182.1492767334 84666.4479675293 1342.11377978325 928.908577386052
"71" "22051024400" 530.208244308829 2495.48150867224 3919.59250879288 24511.2762184143 55428.2344818115 59994.4898681641 968.875022172928 687.005560998067
"72" "22051024500" 310.86235100776 1484.4956291914 2369.56446647644 14196.9539108276 30606.183883667 35875.963722229 552.407186627388 397.258508721597
"73" "22051024600" 223.971878539771 1057.32794457674 1996.84827804565 12501.7808475494 30527.3613853455 34203.7677536011 501.317245125771 355.007833835881
"74" "22051024700" 391.689734473825 1985.7904561758 3591.45671510696 15805.8994216919 33960.099609375 40694.3900146484 629.959503889084 476.479225033179
"75" "22051024800" 1114.04575574398 5207.84387671947 12430.3843078613 56475.5838165283 135518.135437012 174756.914154053 2347.64079189301 1712.54737672269
"76" "22051024900" 424.713559933007 2507.51656556129 5584.04792308807 29505.6962356567 69576.8455963135 90645.7586669922 1159.42317986488 858.168202235706
"77" "22051025001" 1103.77856780589 4625.31187641621 25512.5358219147 57530.1115036011 121324.745948792 341795.002059937 2322.54625403881 2152.32497885217
"78" "22051025002" 411.010646998882 1855.49185538292 10910.1939544678 27472.3683624268 56433.8286132813 151854.450592041 1058.55359458923 962.258572539032
"79" "22051025003" 653.09345953539 2514.909767434 13510.580726862 32689.6252202988 73317.4085187912 199217.002071381 1354.29854300618 1224.40266805746
"80" "22051025102" 932.578306116164 3951.24304199219 20124.4541816711 54029.6322555542 116478.684196472 316973.644134521 2162.33229994774 1930.45070787034
"81" "22051025103" 500.297705601901 2068.52369576693 11863.0618534088 30896.5737476349 69234.0299797058 205951.647033691 1283.18884587288 1150.09752111552
"82" "22051025104" 506.756330959499 2463.64956796169 11831.8913459778 27461.1856899261 55854.1510848999 168501.628875732 1132.35234475136 1029.98065823965
"83" "22051025201" 392.110435776412 2228.79742851853 11398.9615240097 26367.2829818726 52302.8941955566 133376.624557495 1034.04410254955 933.965024497859
"84" "22051025202" 830.422505810857 4106.8679060936 19820.6308822632 42930.918258667 94322.566619873 243903.68182373 1823.33485841751 1646.57557268937
"85" "22051025300" 357.803036578 1766.52842283249 8118.63213253021 19531.3896751404 45364.0054702759 111757.510574341 847.64407491684 737.556565784522
"86" "22051025400" 542.643822409213 2930.23221671581 12910.8509197235 34311.9796485901 73143.1658630371 190893.685974121 1386.818608284 1225.24544240109
"87" "22051025500" 296.408480465412 1361.2267870903 5610.24180603027 16800.6749420166 38101.6758117676 94315.4689941406 694.335725307465 593.949088419258
"88" "22051025600" 287.418481871486 1275.03391832113 5806.83147192001 17592.9899463654 42896.3003692627 103589.267227173 759.95347571373 633.239975133583
"89" "22051025700" 165.530552722514 897.864877462387 4644.62180137634 12764.1864089966 27553.247543335 69677.0635681152 516.455345392227 443.405278537072
"90" "22051025800" 304.872416213155 1400.2064152956 6312.3892364502 18387.5003890991 38869.0902404785 92454.2523193359 743.267643928528 621.941844105318
"91" "22051025900" 406.345908761024 2044.73422241211 11344.4791183472 30426.5300598145 71259.8807983398 163005.268554688 1284.07510280609 1076.58400045645
"92" "22051026000" 327.889518558979 1706.82223403454 6934.04824447632 25533.979888916 60128.4159851074 136383.711242676 1045.24076986313 851.745172186196
"93" "22051026100" 517.302343629301 2786.01728212833 9977.62314510345 29780.8279285431 61822.8159713745 155447.279724121 1210.64603358507 1027.74410571369
"94" "22051026200" 190.522410877049 1168.26028060913 4516.19345664978 15237.62241745 33049.1263961792 87793.321685791 636.046687960625 519.985996873565
"95" "22051026300" 451.009136229753 2181.86444091797 7331.34471273422 32626.0337276459 69388.8304214478 170173.872169495 1284.62287867069 1022.68808319453
"96" "22051026400" 279.800582766533 1221.12319779396 3262.73394775391 13801.2400817871 29876.3645629883 77627.2243652344 594.524033546448 460.550216849208
"97" "22051026500" 579.84964621067 3395.07975435257 9010.03285217285 34296.8537139893 70769.1759338379 178705.420654297 1467.9576625824 1138.86132594454
"98" "22051026600" 268.431907385588 1270.64440822601 3827.73176002502 17657.199180603 37295.9524688721 84819.5239562988 699.331567287445 542.93329887864
"99" "22051026700" 332.645718693733 1601.58917015791 3981.8390827179 19107.5552711487 38867.8903045654 95995.1646728516 787.658881664276 594.787464189172
"100" "22051026800" 346.608499002687 1523.74267320195 3443.52656885237 18243.6232436746 35368.2463288009 87793.6286976933 746.122289040126 548.476053469496
"101" "22051026900" 285.183044601232 1515.77502369881 3404.48143625259 19549.8888473511 36567.469203949 83678.2420196533 747.427467465401 554.261611988444
"102" "22051027000" 915.870199106634 4254.29028606415 7791.18330478668 46485.9075546265 81874.6609802246 199531.980117798 1850.08937811852 1324.33295327326
"103" "22051027100" 586.460974857211 3145.55181837082 4598.12188315392 28853.7117042542 45518.0163421631 105265.863487244 1114.75920784473 788.819733150766
"104" "22051027200" 716.683398112655 3569.38038897514 6013.26978302002 40122.2919006348 67947.7027587891 147434.762786865 1540.20244050026 1074.81784064244
"105" "22051027501" 1062.18858142197 4636.84487903118 3138.74800822139 41955.5545501709 75712.8937530518 58572.7028884888 1683.10804772377 980.180758332446
"106" "22051027502" 499.372874259949 2376.35395383835 1554.76965355873 20976.3799667358 34813.6058807373 37233.421005249 854.803014278412 491.061277862549
"107" "22051027601" 944.714738111943 4425.16793888807 2922.32503035665 29083.6311798096 47181.671833992 67261.7516708374 1336.59954228997 766.817635306251
"108" "22051027602" 454.040861070156 2610.83551740646 2169.30541437864 17546.4624824524 25026.4479064941 52685.5639648438 731.357606828213 469.90315670222
"109" "22051027701" 799.876047555357 3719.9310426712 4916.35637998581 35917.2918109894 54568.0430450439 159588.76600647 1473.73267686367 994.156280267749
"110" "22051027703" 533.597298961133 2508.28772366047 4349.63892316818 27164.0879116058 42520.915927887 131329.118556976 1050.62640222907 771.472220767866
"111" "22051027803" 515.951191306114 3019.52518057823 10407.2369413376 26118.3841400146 53405.8086471558 144512.874588013 1123.94000124931 968.104953353286
"112" "22051027804" 2271.01530370116 11277.4332324266 51142.3092727661 121887.096645355 238721.004043579 742958.898574829 5011.68541300297 4514.19448622164
"113" "22051027805" 1486.2418846488 6599.71546602249 24909.0011520386 78005.6815490723 157072.006561279 507710.892883301 3249.85051631927 2774.221665986
"114" "22051027806" 1181.1349901855 5621.935795784 11528.2003860474 59368.0355834961 118114.334320068 338437.653442383 2606.95499134064 1910.34389862701
"115" "22051027807" 1814.41010051966 8325.43095827103 21805.9319038391 97513.7886352539 192693.420196533 574289.210449219 4178.01923131943 3178.05704014498
"116" "22051027809" 1622.17403808236 6882.77427625656 14537.9132785797 62607.2184295654 96380.8890533447 399586.542297363 2709.96397137642 2061.08109545508
"117" "22051027810" 632.376140832901 2741.4575958252 7569.93460083008 34338.494140625 62908.0515136719 197485.196533203 1370.40929317474 1082.26510627961
"118" "22051027811" 416.602237731218 1880.44354462624 5415.41760635376 21597.1804199219 41867.0333557129 129452.264465332 892.069984912872 717.566533125669
"119" "22051027812" 589.697148685344 2469.41954451799 6486.47976589203 21177.5294532776 36848.7342700958 133463.948982239 916.01761496067 749.671137269017
"120" "22051027901" 513.073152139783 3535.32129096985 3689.25183486938 33010.0250778198 37506.1606445313 202271.675720215 1396.9805753231 929.032061381772
"121" "22051027902" 1996.20495927334 20772.764667511 94810.6217803955 161660.658660889 144894.4246521 921545.780761719 7336.6266746521 5951.37945599783
"122" "22051028000" 896.754826746881 4530.21343612671 5249.47363376617 39238.9925422668 53626.6990852356 239588.147247314 1767.80830621719 1176.79834206798
"123" "22051028100" 277.510333433747 1679.45256578922 1052.66979172826 14728.0415802002 31027.9620437622 19694.2141342163 678.127245783806 359.282738029852
"124" "22051028200" 686.548509806395 3386.5790977478 4856.82335662842 31471.5344161987 65130.3745574951 106763.162780762 1367.4012966156 906.466094310254
"125" "22051980000" 72.8931500315666 988.281641483307 596.095534741879 10988.0628356934 21564.51171875 11351.466583252 403.589806079865 238.971223122538
"126" "22051990000" 0 0 0 0 0 0 0 0
"127" "22071000100" 453.872570924461 1933.19628991187 9549.7965297699 25823.5618638992 50227.085565567 122695.003219604 1045.1459197998 858.298157535902
"128" "22071000200" 184.736614316702 912.267461061478 4498.36473846436 12469.55884552 24852.6319580078 60586.8666381836 504.730084896088 414.88892770037
"129" "22071000300" 121.074430480599 536.345064282417 2699.91955089569 7604.13533401489 15854.7238006592 38812.5060424805 310.885945796967 257.147723622695
"130" "22071000400" 289.080588156357 1178.29556510597 6810.04459929466 19088.0388669968 37027.7006030083 95067.2611980438 749.696253448725 624.431715005616
"131" "22071000601" 117.332566842437 590.789584651589 2530.82121348381 5344.26621580124 10016.9436502457 23723.1562042236 217.19119155407 192.915827352628
"132" "22071000602" 232.640565410256 1030.18037205935 6309.68221187592 15713.0170402527 31166.2663192749 83071.8927459717 623.251465797424 540.337405453101
"133" "22071000603" 271.132379949093 1397.914106071 7515.22129821777 15259.3707199097 27561.8495254517 70556.2341003418 596.311676859856 543.526329357565
"134" "22071000604" 520.42679470405 2392.16328120232 14378.9725618362 30099.8433847427 54286.6374549866 146542.342277527 1167.4864526093 1058.98554097423
"135" "22071000605" 284.469551801682 1197.84031367302 9222.16928482056 21559.2288818359 35998.0449523926 91185.3033447266 760.887092590332 681.933088478804
"136" "22071000606" 701.425086952746 2663.61985474825 21119.6983070374 45955.7181968689 80714.0137634277 229143.865188599 1694.86974155903 1557.71412681762
"137" "22071000607" 687.335015520453 2432.58927202225 23682.4410324097 46473.7310714722 81700.6353302002 240824.557891846 1732.83827185631 1624.72812811171
"138" "22071000611" 405.283844575286 1552.03596258163 15126.8278160095 23630.9707260132 43756.208732605 149695.62210083 1013.18643665314 951.550639464601
"139" "22071000612" 344.23795921728 1145.70240970701 15245.9034762383 13457.0560903549 26281.5387659073 146643.348197937 846.693122327328 785.371212931675
"140" "22071000613" 895.260155897588 4910.12607543916 21226.4183266163 38219.7830719948 65787.4922485352 163273.079158783 1548.07608231902 1438.02287421961
"141" "22071000615" 821.795629404485 4114.01340031624 22328.5901088715 40594.6917572021 70028.1197280884 195594.422546387 1614.43256175518 1509.64152983614
"142" "22071000616" 840.320050718263 3443.23720306158 26546.4590177536 52882.6475467682 97045.5112400055 295133.513587952 2057.57973498106 1917.1688416882
"143" "22071000617" 857.13383275643 4459.24782723188 28323.1394095421 45471.3003807068 76973.156452179 216292.749893188 1785.01223120093 1739.62755060283
"144" "22071000618" 765.420135667548 2914.54334184527 20584.6683139801 46610.8569641113 92903.7353439331 284005.130378723 1832.9409994483 1694.61466751975
"145" "22071000701" 109.4168773368 443.269510358572 3108.36081218719 7033.01740264893 10569.1554794312 33066.1992034912 277.243117690086 227.256969834335
"146" "22071000702" 230.732483178377 1000.79386967421 6822.39388847351 13919.2527961731 22441.7350692749 64462.3902206421 543.274243354797 473.102866215259
"147" "22071000800" 209.933650359511 874.904912680388 6017.57019424438 12987.5349617004 21488.7965812683 64136.0211334229 522.94227284193 440.161671889051
"148" "22071000901" 98.6355945765972 360.19512796402 3133.97451019287 5876.67400360107 9262.11441040039 30753.9774169922 247.725108623505 206.807663980931
"149" "22071000902" 45.4035993218422 171.022645711899 1662.51017379761 3353.57967376709 4960.99239349365 16288.5354614258 133.31555557251 110.654819606841
"150" "22071000903" 68.5354616418481 264.202164545655 2368.87032318115 4925.56635379791 7534.98030281067 24619.7512664795 198.344010829926 163.670175350942
"151" "22071000904" 123.546502979472 531.813953667879 3978.39935159683 7912.0877122879 12210.8631954193 37944.354095459 317.861694514751 269.029849520164
"152" "22071001100" 270.776185750961 1221.57273292542 8551.24580764771 20545.808631897 32128.5352249146 96382.9064788818 800.53392803669 653.839295470954
"153" "22071001200" 261.020103752613 1187.19903087616 6413.09657287598 16692.8261260986 28441.7094421387 74480.5925292969 646.576150417328 532.959317794621
"154" "22071001301" 255.372838646173 1106.70920997858 6089.58086299896 14671.4695663452 23584.8254089355 65291.7098236084 579.80871462822 474.75719474402
"155" "22071001302" 105.330859513953 429.718561101705 2589.80644619465 6121.176872015 9548.63000869751 27955.9471759796 241.952121727169 197.655410194682
"156" "22071001401" 181.655899338424 757.048092275858 4607.35510063171 10536.2100296021 16067.310874939 45817.8225021362 414.556702494621 338.987975662105
"157" "22071001402" 229.543122924864 885.903377950192 5190.32746696472 12425.2715969086 19620.7152557373 56338.1582794189 492.867263376713 401.160897949316
"158" "22071001500" 107.781769923866 483.975459903479 3047.34682273865 7558.52369499207 12175.4623260498 33725.5454101563 297.632614135742 238.979594230883
"159" "22071001600" 1.66585463471711 7.21971905231476 223.823772192001 462.178307056427 690.281411170959 2005.90620803833 17.0314655601978 14.0432328314651
"160" "22071001701" 186.73091159761 692.62282294035 7894.9698677063 15238.9341545105 19000.2965278625 57035.7748718262 589.284568428993 466.119437639698
"161" "22071001702" 342.977978020906 1349.14128309488 10206.5875225067 19048.1772460938 25476.306930542 73048.6181030273 771.20135974884 621.011335446864
"162" "22071001720" 362.939614720643 1453.19201913476 13524.4010658264 21503.7145271301 27212.6137199402 92588.0941734314 977.396524071693 746.699647543318
"163" "22071001722" 492.288154810667 1763.50923454762 17532.973690033 21622.071811676 29406.6830787659 113478.396194458 1149.99872255325 883.516912247152
"164" "22071001723" 482.77184087038 1656.16612040997 15176.2315444946 16368.3114929199 24776.8677062988 112065.548706055 1125.86337184906 771.808701809227
"165" "22071001724" 1057.08808255196 3773.83969819546 36404.5418243408 43988.6649169922 77179.5303344727 206408.750488281 2648.74338436127 1853.71786042619
"166" "22071001725" 832.048384383321 3056.61594432592 42643.7507667542 29188.8297595978 38160.1510238647 169845.958999634 1980.78459739685 1622.2666285096
"167" "22071001730" 48.7500425726175 145.832322943956 3216.96116256714 710.082612037659 1289.76346039772 9867.10865211487 145.166165143251 96.6766036434621
"168" "22071001734" 147.053896471858 214.541085340083 35401.2181167603 365.588434278965 1852.15503549576 44346.703338623 784.910907745361 796.952941567615
"169" "22071001735" 290.527631198987 1189.77329985797 10391.6481952667 11741.6565556526 15186.72697258 53592.4648284912 622.014372140169 491.885115980079
"170" "22071001736" 274.635733306408 1183.54256778955 16192.6287384033 13273.5881557465 18549.3365745544 82356.8278808594 895.305860757828 675.344670099914
"171" "22071001737" 454.111305452883 1691.70118793845 24888.0762748718 13645.7864394188 17295.069026947 82832.707359314 1042.8702057004 872.555091093696
"172" "22071001739" 145.309338800609 505.758315891027 7600.7340221405 4592.9193277359 6442.43466091156 32445.7684936523 371.189776599407 284.76303289061
"173" "22071001740" 537.852344430983 2016.03215279803 26992.4712429047 13218.5130507946 18620.6589508057 91943.6425590515 1248.4040645659 945.473967103549
"174" "22071001741" 101.980100803077 322.945597082376 5084.1823515892 2237.05968594551 3801.11744356155 24479.797164917 268.267012357712 185.853086601369
"175" "22071001743" 343.869232825935 1524.47615742683 12970.8066387177 13355.0015277863 16711.4041538239 55327.7495880127 706.949179410934 578.991662347787
"176" "22071001744" 411.718524772674 1680.93159645423 18415.7547774315 14226.0104894638 18949.2707731724 75262.3484897614 930.860483780503 741.231007024426
"177" "22071001745" 482.801237531006 1503.83354103565 34553.9052810669 13171.9124126434 18571.100479126 116252.991363525 1334.61448478699 1110.75471025766
"178" "22071001746" 387.206481471658 1250.73422059417 26278.5342578888 8046.20345115662 12165.1591310501 86179.6067123413 1059.80315989256 823.556788494721
"179" "22071001747" 562.852126836777 1686.07094445825 24610.7395744324 13261.23878479 20052.3592681885 121437.686767578 1364.62673938274 935.554190547944
"180" "22071001748" 457.242907628417 1543.52175186574 20334.715429306 13195.2303695679 21249.3690471649 111537.348358154 1160.57797777653 831.13397784911
"181" "22071001749" 147.90295846574 441.717712786049 7856.582685709 2755.13902258873 5062.51790118217 36233.1825180054 388.528309352696 273.761324238418
"182" "22071001750" 242.293258901685 793.389329262078 13556.2858095169 4972.9195100069 8659.08736753464 57269.8189086914 632.544880539179 466.756594991591
"183" "22071001751" 250.996337186545 845.128012746572 21856.9290466309 7277.76987075806 13116.2047653198 94458.5059814453 940.58419752121 725.954461936277
"184" "22071001800" 244.53563384898 1194.85983330011 5833.42262458801 14492.1067419052 26096.1555719376 63769.1870174408 582.825929105282 479.30544004819
"185" "22071001900" 214.658063925803 1025.83704203367 4805.74695730209 11117.9791030884 18308.013628006 44037.9524917603 439.625178098679 365.188698948361
"186" "22071002000" 124.168281473219 530.465058267117 2894.84365653992 7301.82167625427 12388.7070426941 31676.6335067749 292.609326124191 234.053123501159
"187" "22071002100" 105.370674908161 446.991446018219 2321.46716308594 5870.05976104736 9863.14906311035 24400.0148925781 235.967226743698 187.021334774315
"188" "22071002200" 132.50921857357 523.754512250423 2920.49373912811 7324.59522438049 11901.2919311523 30998.9562683105 290.846505284309 231.710852046847
"189" "22071002300" 234.607980335131 1018.35847687721 5737.52132034302 15028.5292196274 24303.8039455414 59941.871257782 589.496741861105 461.191956806371
"190" "22071002401" 197.158330708742 787.650483012199 4349.1275844574 11197.5529708862 17334.0904388428 42726.2808990479 435.924969673157 340.824959662944
"191" "22071002402" 376.135026872158 1438.28152447939 8409.61458778381 20259.4125289917 29948.1868057251 76468.2836914063 788.198230266571 621.567695134103
"192" "22071002501" 158.769106857479 652.035562377423 4259.49764323235 10246.7836937904 14064.761469841 36763.0368595123 420.273692339659 303.495081903241
"193" "22071002502" 182.084010459483 746.495749764144 5027.0693898201 10950.6772727966 14528.5221176147 40176.4812164307 454.007506340742 335.462207889534
"194" "22071002503" 212.596470266581 879.994754225016 5394.25158905983 13371.7126064301 18985.2292346954 46864.8698234558 515.254895061255 394.925799929053
"195" "22071002504" 299.769582677633 1155.5941824913 7107.33643245697 16685.6342315674 22934.4116821289 61086.7594223022 649.537386894226 504.374778114457
"196" "22071002600" 398.317543491721 2049.6089836359 8671.24492931366 19674.0764884949 34650.7074890137 77253.2776184082 797.609535455704 667.405516566381
