CensusBlock     ReturnPeriodId TotalLoss
220710007013002 100            124
220710007013003 10             34
220710007013003 25             34
220710007013003 100            35
220710007013003 50             35
220710007013005 10             52
220710007013005 25             52
220710007013005 100            57
220710007013005 50             57
220710007013006 10             103
220710007013006 25             103
220710007013006 50             107
220710007013006 100            109
220710007013011 10             19
220710007013011 100            19
220710007013011 25             19
220710007013011 50             19
220710007013012 10             16
220710007013012 100            16
220710007013012 25             16
220710007013012 50             16
220710007013014 10             192
220710007013014 25             192
220710007013014 50             221
220710007013014 100            230
220710007013017 10             131
220710007013017 25             131
220710007013017 50             134
220710007013017 100            135
220710007013018 10             192
220710007013018 25             192
220710007013018 50             198
220710007013018 100            199
220710007013019 10             163
220710007013019 25             163
220710007013019 50             178
220710007013019 100            180
220710007013020 10             54
220710007013020 25             54
220710007013020 50             55
220710007013020 100            56
220710007013023 10             161
220710007013023 25             161
220710007013023 50             176
220710007013023 100            177
220710007014000 10             514
220710007014000 25             514
220710007014000 100            544
220710007014000 50             623
220710007014008 10             141
220710007014008 25             141
220710007014008 50             184
220710007014008 100            234
220710007014011 10             279
220710007014011 25             279
220710007014011 50             287
220710007014011 100            290
220710007014019 10             575
220710007014019 25             575
220710007014019 50             653
220710007014019 100            665
220710007014021 10             435
220710007014021 25             435
220710007014021 50             481
220710007014021 100            499
220710007014025 10             413
220710007014025 25             413
220710007014025 50             450
220710007014025 100            470
220710007021009 10             534
220710007021009 25             534
220710007021009 50             652
220710007021009 100            711
220710007021010 10             506
220710007021010 25             506
220710007021010 50             584
220710007021010 100            626
220710007021011 10             153
220710007021011 25             153
220710007021011 50             179
220710007021011 100            187
220710007021013 10             938
220710007021013 25             938
220710007021013 50             1140
220710007021013 100            1220
220710007021017 10             244
220710007021017 25             244
220710007021017 50             276
220710007021017 100            279
220710007021019 10             220
220710007021019 25             220
220710007021019 50             251
220710007021019 100            260
220710007021020 10             16
220710007021020 25             16
220710007021020 50             23
220710007021020 100            24
220710007021025 10             126
220710007021025 25             126
220710007021025 50             139
220710007021025 100            143
220710007022001 10             260
220710007022001 25             260
220710007022001 50             299
220710007022001 100            303
220710007022002 10             443
220710007022002 25             443
220710007022002 50             509
220710007022002 100            521
220710007022007 10             109
220710007022007 25             109
220710007022007 50             135
220710007022007 100            138
220710007022009 10             201
220710007022009 25             201
220710007022009 50             258
220710007022009 100            264
220710007022010 10             112
220710007022010 25             112
220710007022010 50             130
220710007022010 100            132
220710007022012 10             306
220710007022012 25             306
220710007022012 50             402
220710007022012 100            413
220710007022015 10             241
220710007022015 25             241
220710007022015 50             307
220710007022015 100            313
220710007023000 10             364
220710007023000 25             364
220710007023000 50             456
220710007023000 100            484
220710007023001 10             710
220710007023001 25             710
220710007023001 50             821
220710007023001 100            835
220710007023003 50             188
220710007023003 100            241
220710007023004 10             162
220710007023004 25             162
220710007023004 50             228
220710007023004 100            255
220710007023006 10             154
220710007023006 25             154
220710007023006 50             273
220710007023006 100            294
220710007023007 10             64
220710007023007 25             64
220710007023007 50             89
220710007023007 100            91
220710007023009 10             517
220710007023009 25             517
220710007023009 50             777
220710007023009 100            880
220710007023011 10             172
220710007023011 25             172
220710007023011 50             259
220710007023011 100            285
220710007023012 10             113
220710007023012 25             113
220710007023012 50             245
220710007023012 100            271
220710007024000 10             284
220710007024000 25             284
220710007024000 50             394
220710007024000 100            452
220710007024001 10             0
220710007024001 25             0
220710007024001 100            1
220710007024001 50             1
220710007024004 10             86
220710007024004 25             86
220710007024004 50             174
220710007024004 100            191
220710007024008 10             54
220710007024008 25             54
220710007024008 50             147
220710007024008 100            162
220710007024009 10             92
220710007024009 25             92
220710007024009 50             222
220710007024009 100            255
220710007024012 10             83
220710007024012 25             83
220710007024012 50             268
220710007024012 100            295
220710007024013 10             103
220710007024013 25             103
220710007024013 50             218
220710007024013 100            242
220710007024014 10             126
220710007024014 25             126
220710007024014 50             166
220710007024014 100            172
220710007024015 10             17
220710007024015 25             17
220710007024015 50             35
220710007024015 100            41
220710007024017 10             10
220710007024017 25             10
220710007024017 50             93
220710007024017 100            110
220710007024018 50             4
220710007024018 100            8
220710007024023 10             43
220710007024023 25             43
220710007024023 50             142
220710007024023 100            162
220710007024026 10             43
220710007024026 25             43
220710007024026 50             194
220710007024026 100            244
220710008001003 10             247
220710008001003 25             247
220710008001003 50             303
220710008001003 100            312
220710008001004 10             779
220710008001004 25             779
220710008001004 50             924
220710008001004 100            1052
220710008001008 10             171
220710008001008 25             171
220710008001008 50             208
220710008001008 100            210
220710008001009 10             185
220710008001009 25             185
220710008001009 50             226
220710008001009 100            230
220710008001011 10             154
220710008001011 25             154
220710008001011 50             179
220710008001011 100            181
220710008001012 10             256
220710008001012 25             256
220710008001012 50             328
220710008001012 100            334
220710008001013 10             206
220710008001013 25             206
220710008001013 50             279
220710008001013 100            284
220710008001017 10             167
220710008001017 25             167
220710008001017 50             220
220710008001017 100            226
220710008002004 10             176
220710008002004 25             176
220710008002004 50             212
220710008002004 100            217
220710008002005 10             358
220710008002005 25             358
220710008002005 50             411
220710008002005 100            439
220710008002007 10             406
220710008002007 25             406
220710008002007 50             473
220710008002007 100            480
220710008002008 10             211
220710008002008 25             211
220710008002008 50             256
220710008002008 100            260
220710008002010 10             351
220710008002010 25             351
220710008002010 50             405
220710008002010 100            413
220710008002011 10             259
220710008002011 25             259
220710008002011 50             335
220710008002011 100            345
220710008002012 10             369
220710008002012 25             369
220710008002012 50             520
220710008002012 100            535
220710008002015 10             313
220710008002015 25             313
220710008002015 50             429
220710008002015 100            442
220710008002017 10             126
220710008002017 25             126
220710008002017 50             227
220710008002017 100            244
220710008002018 100            352
220710008002018 10             449
220710008002018 25             449
220710008002018 50             688
220710008003001 10             337
220710008003001 25             337
220710008003001 50             411
220710008003001 100            421
220710008003003 10             163
220710008003003 25             163
220710008003003 50             178
220710008003003 100            179
220710008003004 10             340
220710008003004 25             340
220710008003004 50             377
220710008003004 100            384
220710008003005 10             192
220710008003005 25             192
220710008003005 50             220
220710008003005 100            223
220710008003006 10             466
220710008003006 25             466
220710008003006 50             537
220710008003006 100            546
220710008003007 10             42
220710008003007 25             42
220710008003007 50             46
220710008003007 100            48
220710008003008 10             361
220710008003008 25             361
220710008003008 50             426
220710008003008 100            431
220710008003011 10             325
220710008003011 25             325
220710008003011 50             423
220710008003011 100            429
220710008003012 10             75
220710008003012 25             75
220710008003012 50             115
220710008003012 100            124
220710008003013 10             163
220710008003013 25             163
220710008003013 50             247
220710008003013 100            266
220710008003014 10             225
220710008003014 25             225
220710008003014 50             291
220710008003014 100            310
220710009011002 10             71
220710009011002 25             71
220710009011002 50             74
220710009011008 10             45
220710009011008 25             45
220710009011008 50             45
220710009011009 10             114
220710009011009 25             114
220710009011009 50             127
220710009011010 10             16
220710009011010 25             16
220710009011013 10             80
220710009011013 25             80
220710009011013 50             83
220710009011014 10             71
220710009011014 25             71
220710009011014 50             72
220710009011015 10             32
220710009011015 25             32
220710009011015 50             34
220710009011019 10             16
220710009011019 25             16
220710009011019 50             18
220710009012001 10             47
220710009012001 25             47
220710009012001 50             48
220710009012003 10             48
220710009012003 25             48
220710009012003 50             50
220710009012004 10             20
220710009012004 25             20
220710009012004 50             22
220710009012005 10             87
220710009012005 25             87
220710009012005 50             94
220710009012009 10             166
220710009012009 25             166
220710009012009 50             169
220710009012011 10             24
220710009012011 25             24
220710009012011 50             24
220710009012013 10             109
220710009012013 25             109
220710009012013 50             111
220710009012015 10             168
220710009012015 25             168
220710009012015 50             172
220710009012016 10             279
220710009012016 25             279
220710009012016 50             287
220710009013001 10             76
220710009013001 25             76
220710009013001 50             91
220710009013002 10             51
220710009013002 25             51
220710009013002 50             53
220710009013004 10             133
220710009013004 25             133
220710009013004 50             138
220710009013005 10             124
220710009013005 25             124
220710009013005 50             127
220710009013009 10             221
220710009013009 25             221
220710009013009 50             228
220710009013009 100            231
220710009013011 10             144
220710009013011 25             144
220710009013011 50             160
220710009013012 10             139
220710009013012 25             139
220710009013012 50             142
220710009014007 10             155
220710009014007 25             155
220710009014007 50             164
220710009014007 100            166
220710009014008 10             42
220710009014008 25             42
220710009014008 100            44
220710009014008 50             44
220710009014010 10             98
220710009014010 25             98
220710009014010 50             101
220710009014010 100            102
220710009014011 10             260
220710009014011 25             260
220710009014011 50             270
220710009014011 100            271
220710009014012 10             205
220710009014012 25             205
220710009014012 50             224
220710009014012 100            226
220710009014016 10             250
220710009014016 25             250
220710009014016 50             257
220710009014016 100            259
220710009014020 10             218
220710009014020 25             218
220710009014020 50             224
220710009014020 100            226
220710009014024 10             175
220710009014024 25             175
220710009014024 50             196
220710009014024 100            207
220710009014025 10             23
220710009014025 25             23
220710009014025 50             25
220710009014025 100            29
220710009014026 10             187
220710009014026 25             187
220710009014026 50             192
220710009014026 100            194
220710009014031 10             227
220710009014031 25             227
220710009014031 50             267
220710009014031 100            281
220710009021003 10             9
220710009021003 25             9
220710009021003 50             9
220710009021008 10             21
220710009021008 25             21
220710009021008 50             22
220710009021010 10             21
220710009021010 25             21
220710009021010 50             22
220710009021012 10             72
220710009021012 25             72
220710009021012 50             75
220710009021016 10             19
220710009021016 25             19
220710009021016 50             19
220710009021024 10             105
220710009021024 25             105
220710009021024 50             107
220710009021027 10             53
220710009021027 25             53
220710009021027 50             54
220710009022000 10             95
220710009022000 25             95
220710009022000 50             97
220710009022001 10             47
220710009022001 25             47
220710009022001 50             47
220710009022004 10             83
220710009022004 25             83
220710009022004 50             91
220710009022008 10             227
220710009022008 25             227
220710009022008 50             263
220710009022010 10             191
220710009022010 25             191
220710009022010 50             194
220710009022015 10             140
220710009022015 25             140
220710009022015 50             143
220710009022019 10             44
220710009022019 25             44
220710009022019 50             45
220710009022026 10             9
220710009022026 25             9
220710009022026 50             9
220710009023001 10             23
220710009023001 25             23
220710009023001 50             24
220710009023002 10             180
220710009023002 25             180
220710009023002 50             185
220710009023005 10             142
220710009023005 25             142
220710009023005 50             156
220710009023006 10             158
220710009023006 25             158
220710009023006 50             160
220710009023008 10             75
220710009023008 25             75
220710009023008 50             89
220710009023010 10             469
220710009023010 25             469
220710009023010 50             555
220710009023011 10             296
220710009023011 25             296
220710009023011 50             303
220710009023013 10             19
220710009023013 25             19
220710009023013 50             20
220710009023017 10             34
220710009023017 25             34
220710009023017 50             36
220710009023018 10             160
220710009023018 25             160
220710009023018 50             162
220710009023020 10             82
220710009023020 25             82
220710009023020 50             91
220710009023022 10             41
220710009023022 25             41
220710009023022 50             42
220710009024000 10             38
220710009024000 25             38
220710009024000 50             40
220710009024002 10             116
220710009024002 25             116
220710009024002 50             145
220710009024003 10             52
220710009024003 25             52
220710009024003 50             55
220710009024006 10             11
220710009024006 100            11
220710009024006 25             11
220710009024007 10             107
220710009024007 25             107
220710009024007 50             112
220710009024010 10             362
220710009024010 25             362
220710009024010 50             383
220710009024011 10             4
220710009024011 25             4
220710009024011 50             4
220710009031003 10             43
220710009031003 25             43
220710009031003 50             45
220710009031005 10             140
220710009031005 25             140
220710009031005 50             148
220710009031006 10             37
220710009031006 25             37
220710009031006 50             38
220710009031012 10             67
220710009031012 25             67
220710009031012 50             72
220710009031012 100            73
220710009031014 10             132
220710009031014 25             132
220710009031014 50             134
220710009031014 100            135
220710009031016 10             90
220710009031016 25             90
220710009031016 50             92
220710009031016 100            93
220710009031018 10             179
220710009031018 25             179
220710009031018 50             183
220710009031018 100            184
220710009031019 10             124
220710009031019 25             124
220710009031019 50             139
220710009031023 10             94
220710009031023 25             94
220710009031023 50             96
220710009031023 100            98
220710009032003 10             91
220710009032003 25             91
220710009032003 50             93
220710009032003 100            94
220710009032004 10             298
220710009032004 25             298
220710009032004 50             330
220710009032004 100            343
220710009032005 10             190
220710009032005 25             190
220710009032005 50             194
220710009032005 100            195
220710009032010 10             155
220710009032010 25             155
220710009032010 50             159
220710009032010 100            160
220710009032011 10             166
220710009032011 25             166
220710009032011 50             170
220710009032011 100            172
220710009032017 10             1688
220710009032017 25             1688
220710009032017 50             2178
220710009032017 100            2280
220710009032023 10             321
220710009032023 25             321
220710009032023 50             401
220710009032023 100            414
220710009033002 10             58
220710009033002 25             58
220710009033002 50             70
220710009033004 10             127
220710009033004 25             127
220710009033004 50             136
220710009033005 10             524
220710009033005 25             524
220710009033005 50             646
220710009033005 100            667
220710009033007 10             149
220710009033007 25             149
220710009033007 50             161
220710009033009 10             107
220710009033009 25             107
220710009033009 50             108
220710009033010 10             16
220710009033010 25             16
220710009033010 50             17
220710009033012 10             102
220710009033012 25             102
220710009033012 50             104
220710009033012 100            105
220710009034002 10             160
220710009034002 25             160
220710009034002 50             179
220710009034002 100            186
220710009034004 10             327
220710009034004 25             327
220710009034004 50             398
220710009034004 100            417
220710009034008 10             48
220710009034008 25             48
220710009034008 100            50
220710009034008 50             50
220710009034011 10             134
220710009034011 25             134
220710009034011 50             150
220710009034011 100            156
220710009034013 10             302
220710009034013 25             302
220710009034013 50             319
220710009034013 100            327
220710009041001 10             238
220710009041001 25             238
220710009041001 50             276
220710009041001 100            287
220710009041002 10             193
220710009041002 25             193
220710009041002 50             214
220710009041002 100            220
220710009041004 10             52
220710009041004 25             52
220710009041004 100            54
220710009041004 50             54
220710009041009 10             99
220710009041009 25             99
220710009041009 50             108
220710009041009 100            114
220710009041013 10             224
220710009041013 25             224
220710009041013 50             240
220710009041013 100            242
220710009041018 10             62
220710009041018 25             62
220710009041018 50             66
220710009041018 100            70
220710009041021 10             50
220710009041021 100            50
220710009041021 25             50
220710009041021 50             50
220710009041022 10             218
220710009041022 25             218
220710009041022 50             233
220710009041022 100            237
220710009041026 10             272
220710009041026 25             272
220710009041026 50             320
220710009041026 100            376
220710009041027 10             171
220710009041027 25             171
220710009041027 50             199
220710009041027 100            204
220710009041029 10             298
220710009041029 25             298
220710009041029 50             315
220710009041029 100            318
220710009041034 10             312
220710009041034 25             312
220710009041034 50             342
220710009041034 100            396
220710009041035 10             263
220710009041035 25             263
220710009041035 50             344
220710009041035 100            352
220710009042000 10             246
220710009042000 25             246
220710009042000 50             254
220710009042000 100            256
220710009042001 10             166
220710009042001 25             166
220710009042001 50             171
220710009042001 100            173
220710009042002 10             182
220710009042002 25             182
220710009042002 50             230
220710009042002 100            242
220710009042005 10             119
220710009042005 25             119
220710009042005 50             121
220710009042005 100            124
220710009042008 10             205
220710009042008 25             205
220710009042008 50             227
220710009042008 100            245
220710009042009 10             154
220710009042009 25             154
220710009042009 50             171
220710009042009 100            175
220710009042010 10             281
220710009042010 25             281
220710009042010 50             308
220710009042010 100            310
220710009042011 10             188
220710009042011 25             188
220710009042011 50             206
220710009042011 100            207
220710009042012 10             270
220710009042012 25             270
220710009042012 50             282
220710009042012 100            284
220710009042013 10             183
220710009042013 25             183
220710009042013 50             204
220710009042013 100            205
220710009042016 10             220
220710009042016 25             220
220710009042016 50             256
220710009042016 100            258
220710009042017 10             224
220710009042017 25             224
220710009042017 50             251
220710009042017 100            253
220710009042021 10             538
220710009042021 25             538
220710009042021 50             653
220710009042021 100            678
220710009042023 10             232
220710009042023 25             232
220710009042023 50             294
220710009042023 100            302
220710011001000 10             57
220710011001000 25             57
220710011001000 50             90
220710011001001 10             48
220710011001001 25             48
220710011001001 50             59
220710011001001 100            61
220710011001011 10             16
220710011001011 25             16
220710011001011 100            18
220710011001011 50             18
220710011001013 10             279
220710011001013 25             279
220710011001013 50             338
220710011001013 100            354
220710011001020 10             94
220710011001020 25             94
220710011001020 50             113
220710011001020 100            116
220710011001021 10             553
220710011001021 25             553
220710011001021 50             663
220710011001021 100            697
220710011001022 10             677
220710011001022 25             677
220710011001022 50             803
220710011001022 100            845
220710011001038 10             75
220710011001038 25             75
220710011001038 50             77
220710011001038 100            78
220710011001040 10             128
220710011001040 25             128
220710011001040 50             132
220710011001040 100            133
220710011001050 10             69
220710011001050 25             69
220710011001050 50             86
220710011001050 100            89
220710011001054 10             30
220710011001054 100            30
220710011001054 25             30
220710011001054 50             30
220710011001061 10             328
220710011001061 25             328
220710011001061 50             344
220710011001061 100            350
220710011001064 10             440
220710011001064 25             440
220710011001064 50             477
220710011001064 100            485
220710011001065 10             44
220710011001065 25             44
220710011001065 50             50
220710011001065 100            51
220710011001075 10             1541
220710011001075 25             1541
220710011001075 50             1788
220710011001075 100            2120
220710011001079 10             241
220710011001079 25             241
220710011001079 50             247
220710011001079 100            248
220710011001080 10             430
220710011001080 25             430
220710011001080 50             483
220710011001080 100            491
220710011001091 10             207
220710011001091 25             207
220710011001091 50             226
220710011001091 100            228
220710011001093 10             544
220710011001093 25             544
220710011001093 50             607
220710011001093 100            705
220710011001095 10             135
220710011001095 25             135
220710011001095 50             149
220710011001095 100            151
220710011001097 10             1141
220710011001097 25             1141
220710011001097 50             1399
220710011001097 100            1460
220710011002001 10             190
220710011002001 25             190
220710011002001 50             219
220710011002001 100            228
220710011002002 10             265
220710011002002 25             265
220710011002002 50             305
220710011002002 100            310
220710011002005 10             488
220710011002005 25             488
220710011002005 50             617
220710011002005 100            629
220710011002008 10             601
220710011002008 25             601
220710011002008 50             689
220710011002008 100            701
220710011002014 10             560
220710011002014 25             560
220710011002014 50             703
220710011002014 100            717
220710011002016 10             232
220710011002016 25             232
220710011002016 50             343
220710011002016 100            369
220710011002017 10             253
220710011002017 25             253
220710011002017 50             394
220710011002017 100            423
220710011002022 10             247
220710011002022 25             247
220710011002022 50             304
220710011002022 100            309
220710011002026 10             257
220710011002026 25             257
220710011002026 50             512
220710011002026 100            563
220710011002027 10             111
220710011002027 25             111
220710011002027 50             284
220710011002027 100            322
220710011002031 10             91
220710011002031 25             91
220710011002031 50             304
220710011002031 100            322
220710011002032 10             31
220710011002032 25             31
220710011002032 50             110
220710011002032 100            116
220710011002034 10             369
220710011002034 25             369
220710011002034 50             1124
220710011002034 100            1244
220710011002039 10             121
220710011002039 25             121
220710011002039 50             285
220710011002039 100            304
220710011003000 10             8
220710011003000 25             8
220710011003000 50             13
220710011003000 100            14
220710012001000 10             375
220710012001000 25             375
220710012001000 50             505
220710012001000 100            515
220710012001002 10             433
220710012001002 25             433
220710012001002 50             579
220710012001002 100            594
220710012001003 10             38
220710012001003 25             38
220710012001003 50             160
220710012001003 100            172
220710012001004 10             175
220710012001004 25             175
220710012001004 50             470
220710012001004 100            505
220710012001010 10             206
220710012001010 25             206
220710012001010 50             351
220710012001010 100            389
220710012001011 10             195
220710012001011 25             195
220710012001011 50             700
220710012001011 100            815
220710012001014 10             440
220710012001014 25             440
220710012001014 50             713
220710012001014 100            791
220710012001015 10             304
220710012001015 25             304
220710012001015 50             446
220710012001015 100            490
220710012001016 10             93
220710012001016 25             93
220710012001016 50             288
220710012001016 100            328
220710012001020 10             312
220710012001020 25             312
220710012001020 50             667
220710012001020 100            744
220710012002003 10             133
220710012002003 25             133
220710012002003 50             188
220710012002003 100            194
220710012002004 10             357
220710012002004 25             357
220710012002004 50             457
220710012002004 100            472
220710012002006 10             49
220710012002006 25             49
220710012002006 50             207
220710012002006 100            232
220710012002007 10             49
220710012002007 25             49
220710012002007 50             102
220710012002007 100            114
220710012002009 10             911
220710012002009 25             911
220710012002009 50             1579
220710012002009 100            1771
220710012002010 10             193
220710012002010 25             193
220710012002010 50             341
220710012002010 100            370
220710012002012 10             298
220710012002012 25             298
220710012002012 50             497
220710012002012 100            553
220710012002014 10             307
220710012002014 25             307
220710012002014 50             611
220710012002014 100            663
220710012003004 10             374
220710012003004 25             374
220710012003004 50             504
220710012003004 100            513
220710012003006 10             225
220710012003006 25             225
220710012003006 50             273
220710012003006 100            279
220710012003007 10             246
220710012003007 25             246
220710012003007 50             311
220710012003007 100            317
220710012003008 10             488
220710012003008 25             488
220710012003008 50             603
220710012003008 100            617
220710012003011 10             418
220710012003011 25             418
220710012003011 50             685
220710012003011 100            748
220710012003012 10             232
220710012003012 25             232
220710012003012 50             444
220710012003012 100            482
220710012003013 10             237
220710012003013 25             237
220710012003013 50             340
220710012003013 100            361
220710013011000 10             422
220710013011000 25             422
220710013011000 50             462
220710013011000 100            475
220710013011002 10             476
220710013011002 25             476
220710013011002 50             501
220710013011002 100            509
220710013011003 10             330
220710013011003 25             330
220710013011003 50             368
220710013011003 100            376
220710013011006 10             342
220710013011006 25             342
220710013011006 50             376
220710013011006 100            385
220710013011008 10             384
220710013011008 25             384
220710013011008 50             418
220710013011008 100            422
220710013011010 10             416
220710013011010 25             416
220710013011010 50             454
220710013011010 100            460
220710013011011 10             465
220710013011011 25             465
220710013011011 50             510
220710013011011 100            514
220710013011013 10             499
220710013011013 25             499
220710013011013 50             546
220710013011013 100            552
220710013011015 10             464
220710013011015 25             464
220710013011015 50             517
220710013011015 100            537
220710013012003 10             391
220710013012003 25             391
220710013012003 50             466
220710013012003 100            477
220710013012005 10             417
220710013012005 25             417
220710013012005 50             579
220710013012005 100            597
220710013012006 10             213
220710013012006 25             213
220710013012006 50             374
220710013012006 100            402
220710013012007 10             966
220710013012007 25             966
220710013012007 50             1095
220710013012007 100            1252
220710013012009 10             276
220710013012009 25             276
220710013012009 50             334
220710013012009 100            339
220710013012011 10             461
220710013012011 25             461
220710013012011 50             585
220710013012011 100            602
220710013013002 10             316
220710013013002 25             316
220710013013002 50             345
220710013013002 100            348
220710013013003 10             278
220710013013003 25             278
220710013013003 50             323
220710013013003 100            327
220710013013004 10             449
220710013013004 25             449
220710013013004 50             509
220710013013004 100            516
220710013013007 10             842
220710013013007 25             842
220710013013007 50             1128
220710013013007 100            1204
220710013013012 10             483
220710013013012 25             483
220710013013012 50             581
220710013013012 100            591
220710013014001 10             530
220710013014001 25             530
220710013014001 50             597
220710013014001 100            617
220710013014003 10             163
220710013014003 25             163
220710013014003 50             169
220710013014003 100            170
220710013014005 10             558
220710013014005 25             558
220710013014005 50             614
220710013014005 100            620
220710013014008 10             391
220710013014008 25             391
220710013014008 50             430
220710013014008 100            435
220710013021003 10             263
220710013021003 25             263
220710013021003 50             271
220710013021003 100            272
220710013021004 10             424
220710013021004 25             424
220710013021004 50             441
220710013021004 100            445
220710013021006 10             321
220710013021006 25             321
220710013021006 50             330
220710013021006 100            332
220710013021008 10             280
220710013021008 25             280
220710013021008 50             287
220710013021008 100            289
220710013021009 10             416
220710013021009 25             416
220710013021009 50             469
220710013021009 100            487
220710013021011 10             288
220710013021011 25             288
220710013021011 50             295
220710013021011 100            297
220710013021012 10             486
220710013021012 25             486
220710013021012 50             498
220710013021012 100            501
220710013022000 10             328
220710013022000 25             328
220710013022000 50             358
220710013022000 100            364
220710013022002 10             227
220710013022002 25             227
220710013022002 50             247
220710013022002 100            249
220710013022003 10             303
220710013022003 25             303
220710013022003 50             319
220710013022003 100            324
220710013022009 10             366
220710013022009 25             366
220710013022009 50             401
220710013022009 100            404
220710013022012 10             188
220710013022012 25             188
220710013022012 50             205
220710013022012 100            207
220710013022014 10             291
220710013022014 25             291
220710013022014 50             320
220710013022014 100            325
220710014011000 10             306
220710014011000 25             306
220710014011000 50             310
220710014011000 100            312
220710014011004 10             292
220710014011004 25             292
220710014011004 50             297
220710014011004 100            300
220710014011006 10             260
220710014011006 25             260
220710014011006 50             265
220710014011006 100            268
220710014011007 10             327
220710014011007 25             327
220710014011007 50             332
220710014011007 100            337
220710014011008 10             219
220710014011008 25             219
220710014011008 50             222
220710014011008 100            224
220710014011010 10             370
220710014011010 25             370
220710014011010 50             378
220710014011010 100            383
220710014012000 10             135
220710014012000 25             135
220710014012000 50             140
220710014012000 100            142
220710014012001 10             171
220710014012001 25             171
220710014012001 50             173
220710014012001 100            174
220710014012003 10             216
220710014012003 25             216
220710014012003 50             234
220710014012003 100            238
220710014012004 10             155
220710014012004 25             155
220710014012004 50             157
220710014012004 100            158
220710014012005 10             149
220710014012005 25             149
220710014012005 50             151
220710014012005 100            153
220710014012008 10             44
220710014012008 25             44
220710014012008 100            45
220710014012008 50             45
220710014012011 10             406
220710014012011 25             406
220710014012011 50             442
220710014012011 100            452
220710014013001 10             179
220710014013001 25             179
220710014013001 50             205
220710014013001 100            206
220710014013003 10             124
220710014013003 25             124
220710014013003 50             127
220710014013003 100            129
220710014013004 10             60
220710014013004 25             60
220710014013004 50             60
220710014013004 100            61
220710014013006 10             398
220710014013006 25             398
220710014013006 50             412
220710014013006 100            420
220710014013008 10             277
220710014013008 25             277
220710014013008 50             287
220710014013008 100            292
220710014013009 10             203
220710014013009 25             203
220710014013009 50             229
220710014013009 100            235
220710014014002 10             41
220710014014002 25             41
220710014014002 50             41
220710014014002 100            42
220710014014003 10             348
220710014014003 25             348
220710014014003 50             400
220710014014003 100            411
220710014014005 10             476
220710014014005 25             476
220710014014005 50             501
220710014014005 100            511
220710014014006 10             224
220710014014006 25             224
220710014014006 50             231
220710014014006 100            233
220710014014010 10             444
220710014014010 25             444
220710014014010 50             476
220710014014010 100            483
220710014015001 10             48
220710014015001 25             48
220710014015001 50             49
220710014015001 100            50
220710014015014 10             116
220710014015014 25             116
220710014015014 100            118
220710014015014 50             118
220710014015021 10             401
220710014015021 25             401
220710014015021 50             429
220710014015021 100            440
220710014015022 10             271
220710014015022 25             271
220710014015022 50             286
220710014015022 100            292
220710014015024 10             486
220710014015024 25             486
220710014015024 50             497
220710014015024 100            500
220710014015030 10             70
220710014015030 25             70
220710014015030 50             74
220710014015030 100            76
220710014016002 10             127
220710014016002 25             127
220710014016002 100            129
220710014016002 50             129
220710014016004 10             500
220710014016004 25             500
220710014016004 50             510
220710014016004 100            513
220710014016007 10             607
220710014016007 25             607
220710014016007 50             617
220710014016007 100            621
220710014016009 10             314
220710014016009 25             314
220710014016009 50             325
220710014016009 100            330
220710014021001 10             268
220710014021001 25             268
220710014021001 50             272
220710014021001 100            273
220710014021002 10             83
220710014021002 25             83
220710014021002 100            84
220710014021002 50             84
220710014021003 10             671
