CensusBlock     ReturnPeriodId TotalLoss
220710004001045 10             212
220710004001045 25             212
220710004001045 50             536
220710004001045 100            576
220710004002006 10             145
220710004002006 25             145
220710004002006 50             232
220710004002006 100            267
220710004002007 10             123
220710004002007 25             123
220710004002007 50             196
220710004002007 100            224
220710004002009 10             224
220710004002009 25             224
220710004002009 50             390
220710004002009 100            431
220710004002011 10             145
220710004002011 25             145
220710004002011 50             314
220710004002011 100            348
220710004002012 10             121
220710004002012 25             121
220710004002012 50             265
220710004002012 100            297
220710004002013 10             195
220710004002013 25             195
220710004002013 50             418
220710004002013 100            459
220710004002014 10             218
220710004002014 25             218
220710004002014 50             332
220710004002014 100            358
220710004002016 10             198
220710004002016 25             198
220710004002016 50             304
220710004002016 100            326
220710004002024 10             41
220710004002024 25             41
220710004002024 50             51
220710004002024 100            55
220710004002026 10             185
220710004002026 25             185
220710004002026 50             221
220710004002026 100            227
220710004002029 10             233
220710004002029 25             233
220710004002029 50             297
220710004002029 100            360
220710004002033 10             417
220710004002033 25             417
220710004002033 50             505
220710004002033 100            542
220710004002035 10             415
220710004002035 25             415
220710004002035 50             458
220710004002035 100            476
220710004002037 10             162
220710004002037 25             162
220710004002037 50             191
220710004002037 100            204
220710004002039 10             159
220710004002039 25             159
220710004002039 50             177
220710004002039 100            179
220710004002044 10             70
220710004002044 25             70
220710004002044 50             84
220710004002044 100            85
220710004002047 10             188
220710004002047 25             188
220710004002047 50             207
220710004002047 100            209
220710004002048 10             128
220710004002048 25             128
220710004002048 50             168
220710004002048 100            181
220710004002051 10             102
220710004002051 25             102
220710004002051 50             123
220710004002051 100            125
220710004002056 10             113
220710004002056 25             113
220710004002056 50             124
220710004002056 100            126
220710004002070 50             118
220710004002070 10             137
220710004002070 25             137
220710004002070 100            149
220710004002072 10             213
220710004002072 25             213
220710004002072 50             245
220710004002072 100            256
220710006011000 10             96
220710006011000 25             96
220710006011000 50             97
220710006011000 100            98
220710006011003 10             575
220710006011003 25             575
220710006011003 50             635
220710006011003 100            683
220710006011005 500            68
220710006011005 10             181
220710006011005 25             181
220710006011005 50             194
220710006011005 100            210
220710006012000 10             236
220710006012000 25             236
220710006012000 50             245
220710006012000 100            248
220710006012001 500            360
220710006012001 10             490
220710006012001 25             490
220710006012001 50             530
220710006012001 100            531
220710006012004 10             201
220710006012004 25             201
220710006012004 50             206
220710006012004 100            207
220710006012004 500            211
220710006012006 10             19
220710006012006 25             19
220710006012006 50             19
220710006012006 100            21
220710006012015 10             332
220710006012015 25             332
220710006012015 50             344
220710006012015 100            348
220710006012015 500            362
220710006012017 10             149
220710006012017 25             149
220710006012017 50             166
220710006012017 100            171
220710006012017 500            182
220710006021001 10             11
220710006021001 25             11
220710006021001 50             15
220710006021001 100            19
220710006021003 10             217
220710006021003 25             217
220710006021003 50             237
220710006021003 100            243
220710006021007 10             246
220710006021007 25             246
220710006021007 50             291
220710006021007 100            295
220710006021010 10             260
220710006021010 25             260
220710006021010 50             297
220710006021010 100            308
220710006021012 10             100
220710006021012 25             100
220710006021012 50             115
220710006021012 100            117
220710006021016 10             368
220710006021016 25             368
220710006021016 50             377
220710006021016 100            380
220710006021018 10             155
220710006021018 25             155
220710006021018 50             164
220710006021018 100            184
220710006021020 10             299
220710006021020 25             299
220710006021020 50             327
220710006021020 100            332
220710006021021 10             230
220710006021021 25             230
220710006021021 50             234
220710006021021 100            235
220710006021023 10             254
220710006021023 25             254
220710006021023 50             260
220710006021023 100            264
220710006021024 10             18
220710006021024 100            18
220710006021024 25             18
220710006021024 50             18
220710006021028 10             176
220710006021028 25             176
220710006021028 50             178
220710006021028 100            179
220710006022001 10             236
220710006022001 25             236
220710006022001 50             303
220710006022001 100            308
220710006022002 10             199
220710006022002 25             199
220710006022002 50             221
220710006022002 100            223
220710006022003 10             133
220710006022003 25             133
220710006022003 50             136
220710006022003 100            137
220710006022004 10             369
220710006022004 25             369
220710006022004 50             391
220710006022004 100            394
220710006022005 10             155
220710006022005 25             155
220710006022005 100            161
220710006022005 50             161
220710006022009 10             36
220710006022009 100            36
220710006022009 25             36
220710006022009 50             36
220710006022010 10             72
220710006022010 25             72
220710006022010 50             74
220710006022010 100            75
220710006022011 10             210
220710006022011 25             210
220710006022011 50             216
220710006022011 100            217
220710006022014 10             615
220710006022014 25             615
220710006022014 50             668
220710006022014 100            688
220710006022015 10             429
220710006022015 25             429
220710006022015 50             436
220710006022015 100            440
220710006022017 10             184
220710006022017 25             184
220710006022017 50             189
220710006022017 100            190
220710006022018 10             24
220710006022018 100            24
220710006022018 25             24
220710006022018 50             24
220710006022018 500            24
220710006022020 500            1341
220710006022020 10             1363
220710006022020 25             1363
220710006022020 50             1570
220710006022020 100            1658
220710006022032 500            54
220710006022032 10             100
220710006022032 25             100
220710006022032 50             110
220710006022032 100            112
220710006022039 500            110
220710006022039 10             217
220710006022039 25             217
220710006022039 50             223
220710006022039 100            224
220710006022040 10             799
220710006022040 25             799
220710006022040 50             809
220710006022040 100            812
220710006023005 10             171
220710006023005 25             171
220710006023005 50             225
220710006023005 100            233
220710006023006 10             135
220710006023006 25             135
220710006023006 50             158
220710006023006 100            163
220710006023007 10             165
220710006023007 25             165
220710006023007 50             195
220710006023007 100            200
220710006023008 10             102
220710006023008 25             102
220710006023008 50             128
220710006023008 100            131
220710006023011 10             74
220710006023011 25             74
220710006023011 50             98
220710006023011 100            100
220710006023012 10             315
220710006023012 25             315
220710006023012 50             356
220710006023012 100            360
220710006023014 10             88
220710006023014 25             88
220710006023014 50             110
220710006023014 100            112
220710006023015 10             256
220710006023015 25             256
220710006023015 50             286
220710006023015 100            289
220710006023016 10             47
220710006023016 25             47
220710006023016 50             51
220710006023016 100            53
220710006023017 10             205
220710006023017 25             205
220710006023017 50             223
220710006023017 100            227
220710006023018 10             167
220710006023018 25             167
220710006023018 50             186
220710006023018 100            187
